,filename,place,floor,x,y,orientation,sample_id,mac_address,timestamp,signal_strength
129,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,14,00:15:f9:6c:7a:e0,1461864822344,-58
130,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,14,00:15:f9:6c:7a:e2,1461864822344,-58
131,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,14,00:15:f9:6c:7a:d2,1461864822344,-70
132,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,14,00:15:f9:6c:7a:d1,1461864822344,-70
133,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,14,00:15:f9:6c:7a:d0,1461864822344,-69
134,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,14,00:17:df:7d:70:50,1461864822344,-88
135,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,14,00:17:df:7d:70:51,1461864822344,-87
136,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,14,00:17:df:7d:70:52,1461864822344,-88
137,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,15,00:15:f9:6c:7a:e1,1461864822344,-57
138,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,15,00:15:f9:6c:7a:e0,1461864822344,-58
139,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,15,00:15:f9:6c:7a:e2,1461864822344,-58
140,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,15,00:15:f9:6c:7a:d2,1461864822344,-71
141,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,15,00:15:f9:6c:7a:d1,1461864822344,-71
142,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,15,00:15:f9:6c:7a:d0,1461864822344,-71
143,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,15,00:17:df:7d:70:50,1461864822344,-85
144,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,15,00:17:df:7d:70:51,1461864822344,-88
145,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,15,00:17:df:7d:70:52,1461864822344,-87
146,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,16,00:15:f9:6c:7a:e1,1461864822344,-58
147,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,16,00:15:f9:6c:7a:e0,1461864822344,-58
148,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,16,00:15:f9:6c:7a:e2,1461864822344,-58
149,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,16,00:15:f9:6c:7a:d2,1461864822344,-70
150,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,16,00:15:f9:6c:7a:d1,1461864822344,-70
151,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,16,00:15:f9:6c:7a:d0,1461864822344,-69
152,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,16,00:17:df:7d:70:50,1461864822344,-88
153,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,16,00:17:df:7d:70:51,1461864822344,-88
154,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,16,00:17:df:7d:70:52,1461864822344,-87
155,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,17,00:15:f9:6c:7a:e1,1461864822344,-58
156,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,17,00:15:f9:6c:7a:e0,1461864822344,-57
157,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,17,00:15:f9:6c:7a:e2,1461864822344,-58
158,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,17,00:15:f9:6c:7a:d2,1461864822344,-69
159,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,17,00:15:f9:6c:7a:d1,1461864822344,-70
160,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,17,00:15:f9:6c:7a:d0,1461864822344,-70
161,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,17,00:17:df:7d:70:50,1461864822344,-88
162,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,17,00:17:df:7d:70:51,1461864822344,-89
163,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,17,00:17:df:7d:70:52,1461864822344,-89
164,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,18,00:15:f9:6c:7a:e1,1461864822344,-57
165,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,18,00:15:f9:6c:7a:e0,1461864822344,-58
166,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,18,00:15:f9:6c:7a:e2,1461864822344,-57
167,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,18,00:15:f9:6c:7a:d2,1461864822344,-70
168,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,18,00:15:f9:6c:7a:d1,1461864822344,-70
169,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,18,00:15:f9:6c:7a:d0,1461864822344,-70
170,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,18,00:17:df:7d:70:50,1461864822344,-88
171,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,18,00:17:df:7d:70:51,1461864822344,-89
172,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,18,00:17:df:7d:70:52,1461864822344,-89
173,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,19,00:15:f9:6c:7a:e1,1461864822344,-57
174,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,19,00:15:f9:6c:7a:e0,1461864822344,-57
175,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,19,00:15:f9:6c:7a:e2,1461864822344,-57
176,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,19,00:15:f9:6c:7a:d2,1461864822344,-69
177,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,19,00:15:f9:6c:7a:d1,1461864822344,-69
178,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,19,00:15:f9:6c:7a:d0,1461864822344,-69
179,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,19,00:17:df:7d:70:50,1461864822344,-87
180,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,19,00:17:df:7d:70:51,1461864822344,-87
181,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,19,00:17:df:7d:70:52,1461864822344,-89
182,"right-to-left-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,224.16597,0,00:15:f9:6c:7d:71,1461872264490,-80
